tier,case_id,range_km,bearing_deg,target_accel_x_mps2,apn_gain,seed,nearest_distance_m,rho_fuze,entered_R_fuze,max_achieved_lateral_g,stable_trace_count,acceleration_valid_observed,acceleration_rmse_mps2,terminal_acceleration_error_mps2,max_estimated_acceleration_mps2,max_apn_acceleration_mps2,max_component_sum_error_mps2
clean_stage4,p10_clean_stage4_r6_bm60_am8_g0_s20260621,6.0,-60.0,-8.0,0.0,20260621,13.583959388705196,0.9055972925803464,True,34.99999999999999,105,True,8.345442178382525e-07,8.345294436681794e-07,7.999999165712643,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bm60_ap0_g0_s20260621,6.0,-60.0,0.0,0.0,20260621,0.001398765559253444,9.325103728356293e-05,True,34.99999999999999,92,True,1.81726256318517e-10,1.0250545350669725e-10,2.4299757258673504e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bm60_ap8_g0_s20260621,6.0,-60.0,8.0,0.0,20260621,0.001387038597187181,9.246923981247872e-05,True,34.99999999999999,83,True,8.34492617608323e-07,8.344313579298852e-07,7.999999165771508,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bm30_am8_g0_s20260621,6.0,-30.0,-8.0,0.0,20260621,0.002003527800565169,0.00013356852003767794,True,25.35760963519754,18,True,8.347544674169379e-07,8.344660453843061e-07,7.999999165600469,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bm30_ap0_g0_s20260621,6.0,-30.0,0.0,0.0,20260621,0.0014003820694135183,9.335880462756789e-05,True,24.94651983302437,17,True,2.482573404896327e-10,2.50950165923778e-10,2.808662821701228e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bm30_ap8_g0_s20260621,6.0,-30.0,8.0,0.0,20260621,0.0015733786367241032,0.00010489190911494021,True,24.53196530635935,16,True,8.347157677737042e-07,8.344465516410426e-07,7.999999165604763,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bp0_am8_g0_s20260621,6.0,0.0,-8.0,0.0,20260621,0.001847758630197517,0.00012318390867983446,True,1.7926186944486626,8,True,8.349994441875383e-07,8.344656690534866e-07,7.999999165534348,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bp0_ap0_g0_s20260621,6.0,0.0,0.0,0.0,20260621,0.0013622695947458168,9.081797298305444e-05,True,0.0,8,True,1.828318749347502e-10,1.6754518980619606e-10,2.1976250952419153e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bp0_ap8_g0_s20260621,6.0,0.0,8.0,0.0,20260621,0.0018115860972132878,0.00012077240648088586,True,1.792618694448663,8,True,8.349994692630857e-07,8.344656690534866e-07,7.999999165534348,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bp30_am8_g0_s20260621,6.0,30.0,-8.0,0.0,20260621,0.0015877528161217314,0.00010585018774144876,True,24.53196530635935,16,True,8.347157677737042e-07,8.344465516410426e-07,7.999999165604763,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bp30_ap0_g0_s20260621,6.0,30.0,0.0,0.0,20260621,0.0013926980892585723,9.284653928390482e-05,True,24.946519833024357,17,True,2.4947492098089136e-10,2.5103723693048433e-10,2.8395152237053853e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bp30_ap8_g0_s20260621,6.0,30.0,8.0,0.0,20260621,0.0019668872930035173,0.00013112581953356783,True,25.35760963519754,18,True,8.347544674169379e-07,8.344660453843061e-07,7.999999165600469,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bp60_am8_g0_s20260621,6.0,60.0,-8.0,0.0,20260621,0.0013996304794533783,9.330869863022521e-05,True,34.99999999999999,83,True,8.34492617608323e-07,8.344313579298852e-07,7.999999165771508,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bp60_ap0_g0_s20260621,6.0,60.0,0.0,0.0,20260621,0.0013986641319777516,9.324427546518344e-05,True,34.99999999999999,92,True,1.81726256318517e-10,1.0250545350669725e-10,2.4299757258673504e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bp60_ap8_g0_s20260621,6.0,60.0,8.0,0.0,20260621,13.58404638067338,0.905603092044892,True,34.99999999999999,105,True,8.345442178382525e-07,8.345294436681794e-07,7.999999165712643,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bm60_am8_g0_s20260621,8.0,-60.0,-8.0,0.0,20260621,0.001416671135583343,9.444474237222286e-05,True,34.99999999999997,194,True,8.34608577976604e-07,8.346056609619312e-07,7.999999165766294,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bm60_ap0_g0_s20260621,8.0,-60.0,0.0,0.0,20260621,0.0014043659581381767,9.362439720921178e-05,True,34.999999999999986,162,True,2.0869438048204496e-10,1.819131820738164e-10,3.1643942182439523e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bm60_ap8_g0_s20260621,8.0,-60.0,8.0,0.0,20260621,0.001381461355187101,9.209742367914007e-05,True,34.999999999999986,143,True,8.343703796345951e-07,8.344745569473139e-07,7.9999991660315874,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bm30_am8_g0_s20260621,8.0,-30.0,-8.0,0.0,20260621,0.001983976948007453,0.00013226512986716353,True,23.69456332888512,55,True,8.346119199918186e-07,8.344948430156056e-07,7.999999165586576,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bm30_ap0_g0_s20260621,8.0,-30.0,0.0,0.0,20260621,0.0013754640062636609,9.169760041757739e-05,True,23.290770097748577,52,True,2.0600672855315627e-10,2.2042637421847497e-10,3.060423358019794e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bm30_ap8_g0_s20260621,8.0,-30.0,8.0,0.0,20260621,0.0015889784610805477,0.00010593189740536985,True,22.88134901096766,49,True,8.345137081936943e-07,8.344301783912483e-07,7.999999165692561,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bp0_am8_g0_s20260621,8.0,0.0,-8.0,0.0,20260621,0.0019562420649189972,0.00013041613766126648,True,1.8758499292760111,34,True,8.345923917408307e-07,8.344666563636437e-07,7.99999916553516,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bp0_ap0_g0_s20260621,8.0,0.0,0.0,0.0,20260621,0.0013622121336378274,9.081414224252183e-05,True,0.0,34,True,2.935702013639468e-10,2.7221283081527493e-10,4.1153614847562956e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bp0_ap8_g0_s20260621,8.0,0.0,8.0,0.0,20260621,0.0019195523923933506,0.00012797015949289004,True,1.8758499292760273,34,True,8.345923817108685e-07,8.344666563636437e-07,7.999999165535158,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bp30_am8_g0_s20260621,8.0,30.0,-8.0,0.0,20260621,0.0016011935473216475,0.00010674623648810984,True,22.88134901096766,49,True,8.345137081936943e-07,8.344301783912483e-07,7.999999165692561,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bp30_ap0_g0_s20260621,8.0,30.0,0.0,0.0,20260621,0.0013710701947458087,9.140467964972058e-05,True,23.290770097748577,52,True,2.0600672855315627e-10,2.2042637421847497e-10,3.060423358019794e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bp30_ap8_g0_s20260621,8.0,30.0,8.0,0.0,20260621,0.0019352466550728903,0.00012901644367152603,True,23.6945633288877,55,True,8.346122828049279e-07,8.34494843903784e-07,7.999999165565782,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bp60_am8_g0_s20260621,8.0,60.0,-8.0,0.0,20260621,0.0013977298592123932,9.318199061415955e-05,True,34.999999999999986,143,True,8.343707160757315e-07,8.344745569473158e-07,7.999999166030737,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bp60_ap0_g0_s20260621,8.0,60.0,0.0,0.0,20260621,0.001403748649818043,9.358324332120286e-05,True,34.999999999999986,162,True,2.0869438048204496e-10,1.819131820738164e-10,3.1643942182439523e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r8_bp60_ap8_g0_s20260621,8.0,60.0,8.0,0.0,20260621,0.0013869365067861919,9.246243378574613e-05,True,34.99999999999997,194,True,8.34608577976604e-07,8.346056609619312e-07,7.999999165766294,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bm60_am8_g0_s20260621,10.0,-60.0,-8.0,0.0,20260621,88.78581548980293,5.919054365986862,False,34.83135000167035,319,True,8.346314707799245e-07,8.348197430426536e-07,7.999999166805126,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bm60_ap0_g0_s20260621,10.0,-60.0,0.0,0.0,20260621,0.0014000715113068126,9.333810075378751e-05,True,34.98361737847034,241,True,2.907002143016024e-10,2.6703433588662283e-10,5.801074629709583e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bm60_ap8_g0_s20260621,10.0,-60.0,8.0,0.0,20260621,0.001381576302715538,9.210508684770253e-05,True,34.99989781054901,204,True,8.343229545759932e-07,8.343566205225043e-07,7.999999166136723,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bm30_am8_g0_s20260621,10.0,-30.0,-8.0,0.0,20260621,0.0019129651733409512,0.0001275310115560634,True,22.58933525566579,98,True,8.34622546866665e-07,8.346469304806408e-07,7.999999165577017,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bm30_ap0_g0_s20260621,10.0,-30.0,0.0,0.0,20260621,0.0013695418819323468,9.130279212882312e-05,True,22.199429302394694,91,True,3.316826983555855e-10,2.0441934266089236e-10,4.819488107966517e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bm30_ap8_g0_s20260621,10.0,-30.0,8.0,0.0,20260621,0.0016098939374894648,0.00010732626249929766,True,21.80306891645003,86,True,8.344558698250351e-07,8.343701355140027e-07,7.999999165749911,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bp0_am8_g0_s20260621,10.0,0.0,-8.0,0.0,20260621,0.001966658214353675,0.00013111054762357833,True,1.9515693900729205,61,True,8.345370955834783e-07,8.344638839064732e-07,7.999999165536137,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bp0_ap0_g0_s20260621,10.0,0.0,0.0,0.0,20260621,0.0013622121991446634,9.081414660964423e-05,True,0.0,61,True,5.078621598277702e-10,1.8525942803769449e-10,7.160946798094186e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bp0_ap8_g0_s20260621,10.0,0.0,8.0,0.0,20260621,0.001925376248123712,0.0001283584165415808,True,1.9515693900696554,61,True,8.345371054334641e-07,8.344638839064732e-07,7.999999165536137,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bp30_am8_g0_s20260621,10.0,30.0,-8.0,0.0,20260621,0.0016203343040086993,0.00010802228693391328,True,21.80306891645003,86,True,8.344558698250351e-07,8.343701355140027e-07,7.999999165749911,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bp30_ap0_g0_s20260621,10.0,30.0,0.0,0.0,20260621,0.001366372747477465,9.109151649849766e-05,True,22.199429302394694,91,True,3.316826983555855e-10,2.0441934266089236e-10,4.819488107966517e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bp30_ap8_g0_s20260621,10.0,30.0,8.0,0.0,20260621,0.001848252262365518,0.00012321681749103455,True,22.58933525566579,98,True,8.34622546866665e-07,8.346469304806408e-07,7.999999165577017,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bp60_am8_g0_s20260621,10.0,60.0,-8.0,0.0,20260621,0.0014026038842193645,9.35069256146243e-05,True,34.99989781054901,204,True,8.343229545759932e-07,8.343566205225043e-07,7.999999166136723,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bp60_ap0_g0_s20260621,10.0,60.0,0.0,0.0,20260621,0.0013994803972329879,9.329869314886586e-05,True,34.98361737847034,241,True,2.907002143016024e-10,2.6703433588662283e-10,5.801074629709583e-10,0.0,0.0
clean_stage4,p10_clean_stage4_r10_bp60_ap8_g0_s20260621,10.0,60.0,8.0,0.0,20260621,88.78603412561228,5.919068941707485,False,34.83135000167035,319,True,8.346314707799245e-07,8.348197430426536e-07,7.999999166805126,0.0,0.0
clean_stage4,p10_clean_stage4_r6_bm60_am8_g0p125_s20260621,6.0,-60.0,-8.0,0.125,20260621,13.317615731677678,0.8878410487785119,True,34.99999999999999,105,True,8.345496305649491e-07,8.34529443283325e-07,7.999999165664981,0.13939044917208934,1.2658444922347829e-14
clean_stage4,p10_clean_stage4_r6_bm60_ap0_g0p125_s20260621,6.0,-60.0,0.0,0.125,20260621,0.0013987655603614427,9.325103735742952e-05,True,34.99999999999999,92,True,1.8171273342669153e-10,1.0467692612447989e-10,2.4299757258673504e-10,2.974677458410773e-11,1.4158205668584169e-14
clean_stage4,p10_clean_stage4_r6_bm60_ap8_g0p125_s20260621,6.0,-60.0,8.0,0.125,20260621,0.0013893940515712546,9.262627010475031e-05,True,34.99999999999999,83,True,8.344847078056474e-07,8.344313582049308e-07,7.999999165759715,0.14594361552252788,1.2712443262992e-14
clean_stage4,p10_clean_stage4_r6_bm30_am8_g0p125_s20260621,6.0,-30.0,-8.0,0.125,20260621,0.0019882532562915055,0.00013255021708610037,True,25.35760963519754,18,True,8.347538112397764e-07,8.344638728999535e-07,7.999999165598943,0.7862301035071297,5.618430578060438e-15
clean_stage4,p10_clean_stage4_r6_bm30_ap0_g0p125_s20260621,6.0,-30.0,0.0,0.125,20260621,0.0014003820657301845,9.33588043820123e-05,True,24.94651983302437,17,True,2.465526742992897e-10,2.462079489329693e-10,2.712993819672271e-10,3.3676057795157884e-11,3.4012935926578963e-15
clean_stage4,p10_clean_stage4_r6_bm30_ap8_g0p125_s20260621,6.0,-30.0,8.0,0.125,20260621,0.0015628542436308581,0.00010419028290872388,True,24.53196530635935,16,True,8.347135365954651e-07,8.344463677881136e-07,7.999999165603919,0.7941242375477913,2.673771110915334e-15
clean_stage4,p10_clean_stage4_r6_bp0_am8_g0p125_s20260621,6.0,0.0,-8.0,0.125,20260621,0.0018430004181680944,0.00012286669454453962,True,1.7176025913362336,8,True,8.349994441875383e-07,8.344656690534866e-07,7.999999165534348,0.9998167529326537,8.897017726212005e-16
clean_stage4,p10_clean_stage4_r6_bp0_ap0_g0p125_s20260621,6.0,0.0,0.0,0.125,20260621,0.0013622695947458168,9.081797298305444e-05,True,2.0779989850748983e-12,8,True,1.828318749347502e-10,1.6754518980619606e-10,2.1976250952419153e-10,2.0378208746984717e-11,0.0
clean_stage4,p10_clean_stage4_r6_bp0_ap8_g0p125_s20260621,6.0,0.0,8.0,0.125,20260621,0.0018069464643969196,0.0001204630976264613,True,1.7176025913362338,8,True,8.349994692630857e-07,8.344656690534866e-07,7.999999165534348,0.9998167529326536,6.66576383644281e-16
clean_stage4,p10_clean_stage4_r6_bp30_am8_g0p125_s20260621,6.0,30.0,-8.0,0.125,20260621,0.001576937530434883,0.00010512916869565886,True,24.53196530635935,16,True,8.347135365954651e-07,8.344463677881136e-07,7.999999165603919,0.7941242375477913,2.673771110915334e-15
clean_stage4,p10_clean_stage4_r6_bp30_ap0_g0p125_s20260621,6.0,30.0,0.0,0.125,20260621,0.0013926980855049674,9.284653903366449e-05,True,24.946519833024357,17,True,2.4947945659895455e-10,2.5089146733353515e-10,2.76517578566329e-10,3.4244520147870704e-11,2.874095081429265e-15
clean_stage4,p10_clean_stage4_r6_bp30_ap8_g0p125_s20260621,6.0,30.0,8.0,0.125,20260621,0.0019518607616491003,0.00013012405077660668,True,25.35760963519754,18,True,8.347538112397764e-07,8.344638728999535e-07,7.999999165598943,0.7862301035071297,5.618430578060438e-15
clean_stage4,p10_clean_stage4_r6_bp60_am8_g0p125_s20260621,6.0,60.0,-8.0,0.125,20260621,0.0014024881985634245,9.349921323756164e-05,True,34.99999999999999,83,True,8.344847078056474e-07,8.344313582049308e-07,7.999999165759715,0.14594361552252788,1.2712443262992e-14
clean_stage4,p10_clean_stage4_r6_bp60_ap0_g0p125_s20260621,6.0,60.0,0.0,0.125,20260621,0.0013986641330858444,9.32442755390563e-05,True,34.99999999999999,92,True,1.8171273342669153e-10,1.0467692612447989e-10,2.4299757258673504e-10,2.974677458410773e-11,1.4158205668584169e-14
clean_stage4,p10_clean_stage4_r6_bp60_ap8_g0p125_s20260621,6.0,60.0,8.0,0.125,20260621,13.31770270498944,0.887846846999296,True,34.99999999999999,105,True,8.345496305649491e-07,8.34529443283325e-07,7.999999165664981,0.13939044917208934,1.2658444922347829e-14
